Date,Sun Rise,Sun Set,Length of Day,Moon Rise,Moon Set,Moon Overhead,Moon Underfoot,Moon Phase,Major Times 1,Major Times 2,Minor Times 1, Minor Times 2,Prediction,Rating
7/1/2017,5:58 AM,9:29 PM,15 hrs. 31 mins.,2:29 PM,1:46 AM,8:26 PM,8:04 AM,56% Waxing,8:04 AM - 10:04 AM,8:26 PM - 10:26 PM,1:46 AM - 2:46 AM,2:29 PM - 3:29 PM,Average,1
7/2/2017,5:59 AM,9:29 PM,15 hrs. 30 mins.,3:30 PM,2:13 AM,9:10 PM,8:48 AM,66% Waxing,8:48 AM - 10:48 AM,9:10 PM - 11:10 PM,2:13 AM - 3:13 AM,3:30 PM - 4:30 PM,Average,1
7/3/2017,5:59 AM,9:29 PM,15 hrs. 30 mins.,4:29 PM,2:41 AM,9:54 PM,9:32 AM,75% Waxing,9:32 AM - 11:32 AM,9:54 PM - 11:54 PM,2:41 AM - 3:41 AM,4:29 PM - 5:29 PM,Average,1
7/4/2017,6:00 AM,9:29 PM,15 hrs. 29 mins.,5:27 PM,3:10 AM,10:38 PM,10:16 AM,83% Waxing,10:16 AM - 12:16 PM,10:38 PM - 12:38 AM,3:10 AM - 4:10 AM,5:27 PM - 6:27 PM,Average,1
7/5/2017,6:01 AM,9:28 PM,15 hrs. 27 mins.,6:24 PM,3:43 AM,11:24 PM,11:01 AM,89% Waxing,11:01 AM - 1:01 PM,11:24 PM - 1:24 AM,3:43 AM - 4:43 AM,6:24 PM - 7:24 PM,Average,1
7/6/2017,6:01 AM,9:28 PM,15 hrs. 27 mins.,7:19 PM,4:18 AM,--:--,11:48 AM,94% Waxing,--:-- - --:--,11:48 AM - 1:48 PM,4:18 AM - 5:18 AM,7:19 PM - 8:19 PM,Better,3
7/7/2017,6:02 AM,9:28 PM,15 hrs. 26 mins.,8:11 PM,4:59 AM,12:11 AM,12:35 PM,98% Waxing,12:11 AM - 2:11 AM,12:35 PM - 2:35 PM,4:59 AM - 5:59 AM,8:11 PM - 9:11 PM,Better,3
7/8/2017,6:03 AM,9:27 PM,15 hrs. 24 mins.,8:59 PM,5:45 AM,12:59 AM,1:23 PM,100% Waxing,12:59 AM - 2:59 AM,1:23 PM - 3:23 PM,5:45 AM - 6:45 AM,8:59 PM - 9:59 PM,Best,4
7/9/2017,6:04 AM,9:27 PM,15 hrs. 23 mins.,9:43 PM,6:35 AM,1:48 AM,2:12 PM,100% FULL,1:48 AM - 3:48 AM,2:12 PM - 4:12 PM,6:35 AM - 7:35 AM,9:43 PM - 10:43 PM,Best,4
7/10/2017,6:04 AM,9:26 PM,15 hrs. 22 mins.,10:22 PM,7:31 AM,2:36 AM,3:00 PM,98% Waning,2:36 AM - 4:36 AM,3:00 PM - 5:00 PM,7:31 AM - 8:31 AM,10:22 PM - 11:22 PM,Better,3
7/11/2017,6:05 AM,9:25 PM,15 hrs. 20 mins.,10:58 PM,8:29 AM,3:24 AM,3:48 PM,94% Waning,3:24 AM - 5:24 AM,3:48 PM - 5:48 PM,8:29 AM - 9:29 AM,10:58 PM - 11:58 PM,Better,3
7/12/2017,6:06 AM,9:25 PM,15 hrs. 19 mins.,11:30 PM,9:31 AM,4:12 AM,4:36 PM,89% Waning,4:12 AM - 6:12 AM,4:36 PM - 6:36 PM,9:31 AM - 10:31 AM,11:30 PM - 12:30 AM,Average,1
7/13/2017,6:07 AM,9:24 PM,15 hrs. 17 mins.,--:--,10:34 AM,4:59 AM,5:23 PM,81% Waning,4:59 AM - 6:59 AM,5:23 PM - 7:23 PM,--:-- - --:--,10:34 AM - 11:34 AM,Average,1
7/14/2017,6:08 AM,9:24 PM,15 hrs. 16 mins.,12:00 AM,11:39 AM,5:47 AM,6:09 PM,72% Waning,5:47 AM - 7:47 AM,6:09 PM - 8:09 PM,12:00 AM - 1:00 AM,11:39 AM - 12:39 PM,Average,1
7/15/2017,6:09 AM,9:23 PM,15 hrs. 14 mins.,12:30 AM,12:45 PM,6:34 AM,6:58 PM,62% Waning,6:34 AM - 8:34 AM,6:58 PM - 8:58 PM,12:30 AM - 1:30 AM,12:45 PM - 1:45 PM,Average,1
7/16/2017,6:09 AM,9:22 PM,15 hrs. 13 mins.,12:59 AM,1:54 PM,7:23 AM,7:47 PM,50% Last,7:23 AM - 9:23 AM,7:47 PM - 9:47 PM,12:59 AM - 1:59 AM,1:54 PM - 2:54 PM,Average,1
7/17/2017,6:10 AM,9:21 PM,15 hrs. 11 mins.,1:31 AM,3:04 PM,8:13 AM,8:39 PM,40% Waning,8:13 AM - 10:13 AM,8:39 PM - 10:39 PM,1:31 AM - 2:31 AM,3:04 PM - 4:04 PM,Average,1
7/18/2017,6:11 AM,9:20 PM,15 hrs. 09 mins.,2:05 AM,4:15 PM,9:06 AM,9:34 PM,29% Waning,9:06 AM - 11:06 AM,9:34 PM - 11:34 PM,2:05 AM - 3:05 AM,4:15 PM - 5:15 PM,Average,1
7/19/2017,6:12 AM,9:20 PM,15 hrs. 08 mins.,2:44 AM,5:28 PM,10:02 AM,10:32 PM,19% Waning,10:02 AM - 12:02 PM,10:32 PM - 12:32 AM,2:44 AM - 3:44 AM,5:28 PM - 6:28 PM,Average,1
7/20/2017,6:13 AM,9:19 PM,15 hrs. 06 mins.,3:30 AM,6:37 PM,11:02 AM,11:32 PM,11% Waning,11:02 AM - 1:02 PM,11:32 PM - 1:32 AM,3:30 AM - 4:30 AM,6:37 PM - 7:37 PM,Average,1
7/21/2017,6:14 AM,9:18 PM,15 hrs. 04 mins.,4:23 AM,7:42 PM,12:03 PM,--:--,4% Waning,12:03 PM - 2:03 PM,--:-- - --:--,4:23 AM - 5:23 AM,7:42 PM - 8:42 PM,Better,3
7/22/2017,6:15 AM,9:17 PM,15 hrs. 02 mins.,5:25 AM,8:39 PM,1:05 PM,12:34 AM,1% Waning,12:34 AM - 2:34 AM,1:05 PM - 3:05 PM,5:25 AM - 6:25 AM,8:39 PM - 9:39 PM,Best,4
7/23/2017,6:16 AM,9:16 PM,15 hrs. 00 mins.,6:32 AM,9:29 PM,2:05 PM,1:35 AM,0% NEW,1:35 AM - 3:35 AM,2:05 PM - 4:05 PM,6:32 AM - 7:32 AM,9:29 PM - 10:29 PM,Best,4
7/24/2017,6:17 AM,9:15 PM,14 hrs. 58 mins.,7:44 AM,10:10 PM,3:03 PM,2:34 AM,2% Waxing,2:34 AM - 4:34 AM,3:03 PM - 5:03 PM,7:44 AM - 8:44 AM,10:10 PM - 11:10 PM,Better,3
7/25/2017,6:18 AM,9:14 PM,14 hrs. 56 mins.,8:55 AM,10:46 PM,3:57 PM,3:30 AM,7% Waxing,3:30 AM - 5:30 AM,3:57 PM - 5:57 PM,8:55 AM - 9:55 AM,10:46 PM - 11:46 PM,Good,2
7/26/2017,6:19 AM,9:13 PM,14 hrs. 54 mins.,10:04 AM,11:18 PM,4:47 PM,4:22 AM,13% Waxing,4:22 AM - 6:22 AM,4:47 PM - 6:47 PM,10:04 AM - 11:04 AM,11:18 PM - 12:18 AM,Average,1
7/27/2017,6:20 AM,9:11 PM,14 hrs. 51 mins.,11:11 AM,11:48 PM,5:35 PM,5:11 AM,22% Waxing,5:11 AM - 7:11 AM,5:35 PM - 7:35 PM,11:11 AM - 12:11 PM,11:48 PM - 12:48 AM,Average,1
7/28/2017,6:22 AM,9:10 PM,14 hrs. 48 mins.,12:15 PM,--:--,6:21 PM,5:58 AM,31% Waxing,5:58 AM - 7:58 AM,6:21 PM - 8:21 PM,12:15 PM - 1:15 PM,--:-- - --:--,Average,1
7/29/2017,6:23 AM,9:09 PM,14 hrs. 46 mins.,1:18 PM,12:15 AM,7:05 PM,6:43 AM,40% Waxing,6:43 AM - 8:43 AM,7:05 PM - 9:05 PM,12:15 AM - 1:15 AM,1:18 PM - 2:18 PM,Average,1
7/30/2017,6:24 AM,9:08 PM,14 hrs. 44 mins.,2:18 PM,12:43 AM,7:50 PM,7:28 AM,50% First,7:28 AM - 9:28 AM,7:50 PM - 9:50 PM,12:43 AM - 1:43 AM,2:18 PM - 3:18 PM,Average,1
7/31/2017,6:25 AM,9:07 PM,14 hrs. 42 mins.,3:18 PM,1:12 AM,8:34 PM,8:12 AM,60% Waxing,8:12 AM - 10:12 AM,8:34 PM - 10:34 PM,1:12 AM - 2:12 AM,3:18 PM - 4:18 PM,Average,1
Solunar Predictions for: KALKASKA MI 49646 (local time shown) for the month of July 2017

